k,cate,n_targeted,revenue,cost,profit
0.02,269.7021972241037,20000,10788.087888964148,3000.0,7788.087888964148
0.04,326.81505403214044,40000,13072.602161285617,6000.0,7072.602161285617
0.06,413.39638149358467,60000,16535.855259743388,9000.0,7535.855259743388
0.08,450.27953934794004,80000,18011.1815739176,12000.0,6011.181573917602
0.1,489.38743580758916,100000,19575.497432303568,15000.0,4575.497432303568
0.12,500.2445615398674,120000,20009.782461594696,18000.0,2009.7824615946956
0.14,550.8215508273428,140000,22032.862033093712,21000.0,1032.862033093712
0.16,579.7774111352109,160000,23191.096445408435,24000.0,-808.9035545915649
0.18,608.9532783358812,180000,24358.13113343525,27000.0,-2641.8688665647496
0.2,633.1980650478271,200000,25327.922601913084,30000.0,-4672.077398086916
0.22,639.8639224837708,220000,25594.55689935083,33000.0,-7405.443100649169
0.24,656.0987282289911,240000,26243.949129159646,36000.0,-9756.050870840354
0.26,666.0706972846542,260000,26642.82789138617,39000.0,-12357.172108613831
0.28,674.6145246651688,280000,26984.58098660675,42000.0,-15015.41901339325
0.3,684.5493528926993,300000,27381.97411570797,45000.0,-17618.02588429203
0.32,695.5009261366554,320000,27820.037045466215,48000.0,-20179.962954533785
0.34,686.3843536877067,340000,27455.374147508268,51000.0,-23544.625852491732
0.36,686.8773495600584,360000,27475.093982402337,54000.0,-26524.906017597663
0.38,695.3264108051777,380000,27813.056432207108,57000.0,-29186.943567792892
0.4,700.3166029568226,400000,28012.664118272907,60000.0,-31987.335881727093
0.42,703.8499217608485,420000,28153.99687043394,63000.0,-34846.00312956606
0.44,698.1329667171894,440000,27925.318668687578,66000.0,-38074.68133131242
0.46,701.4467310519656,460000,28057.869242078625,69000.0,-40942.130757921375
0.48,706.0319398497555,480000,28241.27759399022,72000.0,-43758.72240600978
0.5,709.3399313980243,500000,28373.597255920973,75000.0,-46626.40274407902
0.52,717.3687621583211,520000,28694.750486332847,78000.0,-49305.24951366715
0.54,719.7530639136679,540000,28790.122556546718,81000.0,-52209.87744345328
0.56,712.9544609035747,560000,28518.17843614299,84000.0,-55481.82156385701
0.58,715.6745760241035,580000,28626.983040964144,87000.0,-58373.01695903586
0.6,718.8265099011388,600000,28753.060396045552,90000.0,-61246.93960395445
0.62,719.6348676146073,620000,28785.39470458429,93000.0,-64214.605295415706
0.64,725.8496733978603,640000,29033.986935914414,96000.0,-66966.0130640856
0.66,721.8868045572101,660000,28875.472182288402,99000.0,-70124.5278177116
0.68,723.7069490375513,680000,28948.277961502055,102000.0,-73051.72203849794
0.7,724.467366039116,700000,28978.694641564638,105000.0,-76021.30535843536
0.72,724.0673290057595,720000,28962.693160230378,108000.0,-79037.30683976962
0.74,729.6230946064464,740000,29184.92378425786,111000.0,-81815.07621574214
0.76,728.4590979536765,760000,29138.36391814706,114000.0,-84861.63608185294
0.78,733.7733384898477,780000,29350.933539593905,117000.0,-87649.06646040609
0.8,737.4896933261164,800000,29499.587733044653,120000.0,-90500.41226695535
0.82,738.3586325058658,820000,29534.345300234632,123000.0,-93465.65469976536
0.84,743.175101140537,840000,29727.004045621477,126000.0,-96272.99595437852
0.86,746.6940782022589,860000,29867.763128090355,129000.0,-99132.23687190964
0.88,746.9445757719137,880000,29877.783030876548,132000.0,-102122.21696912346
0.9,745.2607465336109,900000,29810.429861344437,135000.0,-105189.57013865556
0.92,748.7501867956342,920000,29950.00747182537,138000.0,-108049.99252817463
0.94,774.851007190047,940000,30994.040287601878,141000.0,-110005.95971239812
0.96,814.9860413342977,960000,32599.44165337191,144000.0,-111400.5583466281
0.98,878.7699263186386,980000,35150.79705274554,147000.0,-111849.20294725447
1.0,1149.411764705882,1000000,45976.47058823528,150000.0,-104023.52941176473
